GenreName
Pop
Alternative
Dance
Country
Hip Hop/Rap
Holiday
Rock
J-Pop
Classical
Soundtrack
Progressive Trance
Comedy
Children's Music
Singer/Songwriter
Nu Metal
Folk
Reggae
House
